bounds[0],bounds[1],bounds[2],bounds[3],coordinates.latitude,coordinates.longitude,country.code,country.id,country.name,datetimeFirst,datetimeFirst.local,datetimeFirst.utc,datetimeLast,datetimeLast.local,datetimeLast.utc,distance,id,instruments[0].id,instruments[0].name,instruments[1].id,instruments[1].name,isMobile,isMonitor,licenses,licenses[0].attribution.name,licenses[0].attribution.url,licenses[0].dateFrom,licenses[0].dateTo,licenses[0].id,licenses[0].name,locality,name,owner.id,owner.name,provider.id,provider.name,sensors[0].id,sensors[0].name,sensors[0].parameter.displayName,sensors[0].parameter.id,sensors[0].parameter.name,sensors[0].parameter.units,sensors[1].id,sensors[1].name,sensors[1].parameter.displayName,sensors[1].parameter.id,sensors[1].parameter.name,sensors[1].parameter.units,sensors[2].id,sensors[2].name,sensors[2].parameter.displayName,sensors[2].parameter.id,sensors[2].parameter.name,sensors[2].parameter.units,sensors[3].id,sensors[3].name,sensors[3].parameter.displayName,sensors[3].parameter.id,sensors[3].parameter.name,sensors[3].parameter.units,sensors[4].id,sensors[4].name,sensors[4].parameter.displayName,sensors[4].parameter.id,sensors[4].parameter.name,sensors[4].parameter.units,sensors[5].id,sensors[5].name,sensors[5].parameter.displayName,sensors[5].parameter.id,sensors[5].parameter.name,sensors[5].parameter.units,sensors[6].id,sensors[6].name,sensors[6].parameter.displayName,sensors[6].parameter.id,sensors[6].parameter.name,sensors[6].parameter.units,sensors[7].id,sensors[7].name,sensors[7].parameter.displayName,sensors[7].parameter.id,sensors[7].parameter.name,sensors[7].parameter.units,timezone
-81.4954582,36.405121,-81.4954582,36.405121,36.405121,-81.4954582,US,155,United States,,2025-04-02T13:00:00-04:00,2025-04-02T17:00:00Z,,2025-07-19T08:00:00-04:00,2025-07-19T12:00:00Z,,3933176,7,AirGradient Sensor,,,False,False,,Ulairi,,2023-07-15,,41,CC BY 4.0,,Downtown West Jefferson,11468,Ulairi,66,AirGradient,12662192,pm1 µg/m³,PM1,19,pm1,µg/m³,12662193,pm25 µg/m³,PM2.5,2,pm25,µg/m³,12662194,relativehumidity %,RH,98,relativehumidity,%,12662195,temperature c,Temperature (C),100,temperature,c,12662196,um003 particles/cm³,PM0.3 count,125,um003,particles/cm³,,,,,,,,,,,,,,,,,,,America/New_York
-117.05027,32.56347,-117.05027,32.56347,32.56347,-117.05027,US,155,United States,,2025-04-02T13:14:36-07:00,2025-04-02T20:14:36Z,,2025-07-19T05:02:08-07:00,2025-07-19T12:02:08Z,,3933765,4,Clarity Sensor,,,False,False,,Clarity,,2021-10-20,,38,CC0 1.0,,Smythe Avenue,9,Clarity,166,Clarity,12663086,pm25 µg/m³,PM2.5,2,pm25,µg/m³,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,America/Los_Angeles
-117.03399,32.54439,-117.03399,32.54439,32.54439,-117.03399,US,155,United States,,2025-04-02T13:12:32-07:00,2025-04-02T20:12:32Z,,2025-07-19T04:59:21-07:00,2025-07-19T11:59:21Z,,3933766,4,Clarity Sensor,,,False,False,,Clarity,,2021-10-20,,38,CC0 1.0,,International Border ,9,Clarity,166,Clarity,12663084,pm25 µg/m³,PM2.5,2,pm25,µg/m³,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,America/Los_Angeles
-117.02389,32.5718,-117.02389,32.5718,32.5718,-117.02389,US,155,United States,,2025-04-02T13:11:25-07:00,2025-04-02T20:11:25Z,,2025-07-19T05:01:08-07:00,2025-07-19T12:01:08Z,,3933767,4,Clarity Sensor,,,False,False,,Clarity,,2021-10-20,,38,CC0 1.0,,Ocean View Hills,9,Clarity,166,Clarity,12663085,pm25 µg/m³,PM2.5,2,pm25,µg/m³,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,America/Los_Angeles
-121.27622445944455,37.95453410446664,-121.27622445944455,37.95453410446664,37.95453410446664,-121.27622445944455,US,155,United States,,2025-04-02T16:00:00-07:00,2025-04-02T23:00:00Z,,2025-07-19T05:00:00-07:00,2025-07-19T12:00:00Z,,3934679,7,AirGradient Sensor,,,False,False,,HATCH Workshop,,2023-07-15,,41,CC BY 4.0,,HATCH Workshop,11469,HATCH Workshop,66,AirGradient,12663677,pm1 µg/m³,PM1,19,pm1,µg/m³,12663678,pm25 µg/m³,PM2.5,2,pm25,µg/m³,12663679,relativehumidity %,RH,98,relativehumidity,%,12663680,temperature c,Temperature (C),100,temperature,c,12663681,um003 particles/cm³,PM0.3 count,125,um003,particles/cm³,,,,,,,,,,,,,,,,,,,America/Los_Angeles
-0.9952652098159263,51.42580064599009,-0.9952652098159263,51.42580064599009,51.42580064599009,-0.9952652098159263,GB,79,United Kingdom,,2025-04-03T09:00:00+01:00,2025-04-03T08:00:00Z,,2025-04-04T08:00:00+01:00,2025-04-04T07:00:00Z,,3939296,7,AirGradient Sensor,,,False,False,,Green Park Village Primary Academy,,2023-07-15,,41,CC BY 4.0,,,11500,Green Park Village Primary Academy,66,AirGradient,12667316,pm1 µg/m³,PM1,19,pm1,µg/m³,12667317,pm25 µg/m³,PM2.5,2,pm25,µg/m³,12667318,relativehumidity %,RH,98,relativehumidity,%,12667319,temperature c,Temperature (C),100,temperature,c,12667320,um003 particles/cm³,PM0.3 count,125,um003,particles/cm³,,,,,,,,,,,,,,,,,,,Europe/London
-2.599023,51.466427,-2.599023,51.466427,51.466427,-2.599023,GB,79,United Kingdom,,2025-04-03T10:00:00+01:00,2025-04-03T09:00:00Z,,2025-07-05T10:00:00+01:00,2025-07-05T09:00:00Z,,3939850,7,AirGradient Sensor,,,False,False,,Unknown Person,,2023-07-15,,41,CC BY 4.0,,Cotham Gardens Primary top site,11509,Unknown Person,66,AirGradient,12667930,pm1 µg/m³,PM1,19,pm1,µg/m³,12667931,pm25 µg/m³,PM2.5,2,pm25,µg/m³,12667932,relativehumidity %,RH,98,relativehumidity,%,12667933,temperature c,Temperature (C),100,temperature,c,12667934,um003 particles/cm³,PM0.3 count,125,um003,particles/cm³,,,,,,,,,,,,,,,,,,,Europe/London
19.926521704,50.0582286,19.926521704,50.0582286,50.0582286,19.926521704,PL,77,Poland,,,,,,,,3941924,5,HabitatMap Sensor,,,False,False,,,,,,,,,ivy,11,HabitatMap,200,HabitatMap,12669425,pm25 µg/m³,PM2.5,2,pm25,µg/m³,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Europe/Warsaw
17.998009,53.121793,17.998009,53.121793,53.121793,17.998009,PL,77,Poland,,2025-04-04T00:00:00+02:00,2025-04-03T22:00:00Z,,2025-07-19T14:00:00+02:00,2025-07-19T12:00:00Z,,3946462,7,AirGradient Sensor,,,False,False,,Przyrzecze,,2023-07-15,,41,CC BY 4.0,,"Bydgoszcz, Przyrzecze",11470,Przyrzecze,66,AirGradient,12672943,pm1 µg/m³,PM1,19,pm1,µg/m³,12672944,pm25 µg/m³,PM2.5,2,pm25,µg/m³,12672945,relativehumidity %,RH,98,relativehumidity,%,12672946,temperature c,Temperature (C),100,temperature,c,12672947,um003 particles/cm³,PM0.3 count,125,um003,particles/cm³,,,,,,,,,,,,,,,,,,,Europe/Warsaw
-83.35141,35.46949,-83.35141,35.46949,35.46949,-83.35141,US,155,United States,,2025-04-04T09:14:19-04:00,2025-04-04T13:14:19Z,,2025-07-19T07:53:00-04:00,2025-07-19T11:53:00Z,,3954732,4,Clarity Sensor,,,False,False,,Clarity,,2021-10-20,,38,CC0 1.0,,Birdtown Comm Build,9,Clarity,166,Clarity,12679488,pm25 µg/m³,PM2.5,2,pm25,µg/m³,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,America/New_York
